lesson_number,slug,title_en,title_id,chapter,topic_slug,topic_name,difficulty,is_published,xp_reward,estimated_minutes,summary_en,summary_id,concept_body_en,concept_body_id,indonesian_example_en,indonesian_example_id,example_variants,question_variants,explanation_variants,sources,prerequisite_slug,created_at
1,money-basics-101,What Is Money?,Apa Itu Uang?,Money Basics,money_basics,Money Basics,beginner,false,50,5,"Money is a tool that makes trade, saving, and planning possible.","Uang adalah alat yang membuat perdagangan, menabung, dan perencanaan jadi mungkin.","Money is anything people commonly accept as payment for goods and services. In daily life, money plays three roles. First, it is a medium of exchange: instead of swapping your mie ayam for a phone charger directly, you use rupiah. Second, it is a store of value: money lets you save today and spend tomorrow. Third, it is a unit of account: it gives everything a price tag so you can compare values quickly.

Cash, GoPay balance, bank transfers, and QRIS payments are all forms of money because selle","Uang adalah apa saja yang umum diterima orang sebagai pembayaran barang dan jasa. Dalam kehidupan sehari-hari, uang punya tiga peran. Pertama, sebagai alat tukar: alih-alih menukar mie ayammu langsung dengan charger ponsel, kamu pakai rupiah. Kedua, sebagai penyimpan nilai: uang memungkinkanmu menabung hari ini dan berbelanja besok. Ketiga, sebagai satuan hitung: uang memberi harga pada semua barang sehingga kamu bisa membandingkan nilai dengan cepat.

Uang tunai, saldo GoPay, transfer bank, dan","Bayu wants to buy a bowl of mie ayam at a warung for Rp 15,000. The seller does not want to trade for Bayu's old earphones, so Bayu pays with a Rp 20,000 note and receives Rp 5,000 change. His friend Citra pays with GoPay because she has no cash. Both payments work because rupiah and GoPay balances are accepted as money in this warung.",,15,133,3,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) | OJK-007: OJK Banking Channel — Consumer Protection (https://ojk.go.id/id/kanal/perbankan) | OJK-002: OJK National Survey on Financial Literacy & Inclusion (SNLIK) 2025 (https://ojk.go.id/id/Fungsi-Utama/Perilaku-Pelaku-Usaha-Jasa-Keuangan/SNLIK/Pages/SNLIK-2025.aspx) [PRIMARY] | GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-001: National Strategy on Indonesian Financial Literacy (SNLKI) 2021-2025 (https://ojk.go.id/en/berita-dan-kegiatan/publikasi/Pages/National-Strategy-on-Indonesian-Financial-Literacy-(SNLKI)-2021---2025.aspx),,2026-06-29T06:35:56.732989+00:00
2,value-and-purchasing-power,Value and Purchasing Power,Nilai dan Daya Beli,Money Basics,value_purchasing_power,Value & Purchasing Power,beginner,true,50,5,The same rupiah can buy different amounts depending on where and when you spend it.,Rupiah yang sama bisa membeli jumlah berbeda tergantung di mana dan kapan kamu membelanjakannya.,"Value means how useful or desirable something is to you. Purchasing power means how much you can actually buy with a fixed amount of money. The same Rp 50,000 buys more in some places and less in others because prices differ. A high nominal salary does not always mean a rich life if rent, food, and transport are expensive.

Purchasing power also changes over time. If prices rise, your money buys less. If prices fall, your money buys more. This matters when you compare incomes, prices, or savings","Nilai berarti seberapa berguna atau diinginkan sesuatu bagimu. Daya beli berarti seberapa banyak yang bisa kamu beli dengan jumlah uang tertentu. Rp 50.000 yang sama bisa membeli lebih banyak di beberapa tempat dan lebih sedikit di tempat lain karena harganya berbeda. Gaji nominal tinggi tidak selalu berarti hidup kaya jika sewa, makanan, dan transportasi mahal.

Daya beli juga berubah seiring waktu. Jika harga naik, uangmu membeli lebih sedikit. Jika harga turun, uangmu membeli lebih banyak. Ha","A bowl of mie ayam costs Rp 15,000 in Jakarta and Rp 12,000 in Yogyakarta. With Rp 50,000, Bayu can buy three bowls in Jakarta with Rp 5,000 left over, but four bowls in Yogyakarta with Rp 2,000 left over. The same Rp 50,000 has different purchasing power in each city.",,0,0,0,BI-001: Bank Indonesia — About Inflation (https://id.wikipedia.org/wiki/Inflasi) [PRIMARY] | GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi),,2026-07-16T13:12:52.990866+00:00
3,inflation-101,Inflation: Why Your Rupiah Buys Less Over Time,Inflasi: Mengapa Rupiahmu Membeli Lebih Sedikit dari Waktu ke Waktu,Money Basics,inflation,Inflation,beginner,true,55,6,Inflation is the slow rise in prices that quietly shrinks the buying power of your cash.,Inflasi adalah kenaikan harga yang perlahan-lahan memangkas daya beli uang tunaimu.,"Inflation is a general increase in the prices of goods and services over time. When inflation happens, each rupiah buys less than before. Bank Indonesia aims to keep inflation low and stable, around 2.5% plus or minus 1% per year. Low inflation is normal in a growing economy, but high inflation hurts people who keep large amounts of cash.

Inflation does not mean every price rises by the same amount, but the overall cost of living tends to go up. Cash sitting under a pillow loses purchasing powe","Inflasi adalah kenaikan harga barang dan jasa secara umum seiring waktu. Ketika inflasi terjadi, setiap rupiah membeli lebih sedikit dari sebelumnya. Bank Indonesia menargetkan inflasi rendah dan stabil, sekitar 2,5% plus minus 1% per tahun. Inflasi rendah adalah hal normal dalam ekonomi yang tumbuh, tetapi inflasi tinggi merugikan orang yang menyimpan uang tunai dalam jumlah besar.

Inflasi tidak berarti setiap harga naik dalam jumlah yang sama, tetapi biaya hidup secara keseluruhan cenderung n","In 2020, Rina could buy a bowl of mie ayam for Rp 12,000. In 2025, the same bowl costs Rp 16,000. She kept Rp 120,000 under her pillow for five years. In 2020 that money bought ten bowls, but in 2025 it buys only seven bowls and leaves some change. Her rupiah amount stayed the same, but her purchasing power fell.",,0,0,0,BI-002: Bank Indonesia — BI Rate (https://id.wikipedia.org/wiki/Suku_bunga) | BI-005: Bank Indonesia — Exchange Rate (Nilai Tukar Rupiah) (https://id.wikipedia.org/wiki/Nilai_tukar) | BI-001: Bank Indonesia — About Inflation (https://id.wikipedia.org/wiki/Inflasi) [PRIMARY] | GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi),,2026-06-29T06:35:56.732989+00:00
4,income-vs-wealth,Income vs Wealth (Main Track),Pendapatan vs Kekayaan (Jalur Utama),Money Basics,income_wealth,Income vs Wealth,beginner,true,50,5,Income is money coming in; wealth is what you keep and grow over time.,,"Income is the flow of money you receive, such as salary, allowance, or freelance payments. Wealth is the stock of money and valuable things you already own, minus what you owe. A person can earn a high income but have low wealth if they spend almost everything. Another person can earn less but have more wealth if they save and invest consistently.

Income measures speed; wealth measures the size of your financial reservoir. Long-term financial health depends more on what you keep than on what yo",,"Andi works as a sales promoter and earns Rp 8,000,000 per month. He rents an expensive apartment, eats out daily, and has zero savings. Budi works as a barista and earns Rp 4,000,000 per month. He lives simply and has saved Rp 15,000,000 in a separate tabungan. Budi has less income but more wealth because he keeps more of what he earns.",,0,0,0,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
5,needs-vs-wants-101,Needs vs Wants (Main Track),Kebutuhan vs Keinginan (Jalur Utama),Money Basics,money_basics,Money Basics,beginner,true,50,5,Covering needs first makes wants more enjoyable and less stressful.,,"A need is something you must have to live, study, or work safely. Examples include food, shelter, transport, and basic phone credit. A want is something you would like to have but can live without, such as a new outfit, a concert ticket, or a premium streaming subscription.

The line between need and want is not always clear. For example, a basic phone is a need for online classes, but the latest flagship phone is a want. The goal is not to eliminate wants. The goal is to cover needs first, save",,"Sari gets Rp 1,500,000 monthly allowance. She pays kos Rp 700,000, buys a campus meal card for Rp 400,000, and tops up pulsa for Rp 100,000. Those are needs. She also wants a new pair of sneakers for Rp 600,000 and a streaming subscription for Rp 100,000. If she buys the sneakers first, she may not have enough for kos. If she covers needs and saves Rp 100,000 first, she can plan for the sneakers next month.",,0,0,0,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
6,assets-vs-liabilities,Assets vs Liabilities (Main Track),Aset vs Liabilitas (Jalur Utama),Money Basics,assets_liabilities,Assets vs Liabilities,beginner,true,55,6,An asset puts money in your pocket; a liability takes money out.,,"An asset is something you own that can put money in your pocket or grow in value over time. A liability is something you owe or something that costs you money regularly. The same physical item can be an asset for one person and a liability for another, depending on how it is used.

For example, a motorbike bought with cash and used to earn income as an ojek online driver is an asset because it helps generate money. The same motorbike bought on credit just for weekend fun is a liability because i",,"Dodi buys a motorbike on credit for Rp 15,000,000 to become an ojek online driver. Every month he earns Rp 2,500,000 extra income and pays a Rp 800,000 installment. For him, the motorbike is an asset because it helps him earn more than it costs. His friend Eko buys the same motorbike on credit only for weekend rides to the mall. Eko pays the Rp 800,000 installment, fuel, and parking but earns nothing from it. For Eko, the motorbike is a liability.",,0,0,0,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY],,2026-07-16T13:12:52.990866+00:00
7,understanding-risk,Understanding Risk,Memahami Risiko,Money Basics,risk_basics,Understanding Risk,beginner,true,55,6,Risk is the chance that reality turns out worse than you expected.,Risiko adalah kemungkinan bahwa kenyataan berakhir lebih buruk dari yang kamu harapkan.,"Risk is the possibility that an outcome will be worse than you hoped. It does not mean danger every time; it means uncertainty about results. Every financial decision carries some risk, even keeping cash under a pillow, because inflation can reduce its value.

Risk becomes easier to manage when you name it clearly. Ask yourself: what could go wrong? How likely is it? How bad would it be? Can I reduce the chance or limit the damage? Answering these questions before acting is the foundation of goo","Risiko adalah kemungkinan bahwa hasil akan lebih buruk dari yang kamu harapkan. Risiko tidak selalu berarti bahaya; risiko berarti ketidakpastian tentang hasil. Setiap keputusan finansial membawa risiko tertentu, bahkan menyimpan uang tunai di bawah bantal, karena inflasi bisa mengurangi nilainya.

Risiko menjadi lebih mudah dikelola ketika kamu menamainya dengan jelas. Tanyakan pada dirimu: apa yang bisa salah? Seberapa mungkin terjadi? Seberapa buruk dampaknya? Bisakah aku mengurangi kemungkin","Rina lends Rp 200,000 to a classmate who often pays back late. The reward is helping a friend and possibly being helped later. The risk is that the friend never pays back on time, leaving Rina short on pulsa money. Before lending, Rina can reduce the risk by only lending what she can afford to lose or by agreeing on a clear payback date.",,2,4,2,OJK-007: OJK Banking Channel — Consumer Protection (https://ojk.go.id/id/kanal/perbankan) [PRIMARY] | GLB-004: The Psychology of Money — Morgan Housel (null) | OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi),,2026-07-16T13:12:52.990866+00:00
8,time-value-of-money,Time Value of Money,Nilai Waktu Uang,Money Basics,time_value_money,Time Value of Money,beginner,true,60,6,Money available sooner is usually worth more than the same amount later.,Uang yang tersedia lebih cepat biasanya lebih berharga daripada jumlah yang sama di kemudian hari.,"The time value of money means that receiving the same amount of money earlier is generally better than receiving it later. The reason is opportunity cost: money in your hand today can cover needs, earn interest, or be saved for a goal. Money promised in the future may never arrive, and prices may rise while you wait.

This idea also works in reverse. If you borrow Rp 1,000,000 today, you usually must repay more later because the lender gives up the use of that money. Time matters because options","Nilai waktu uang berarti menerima jumlah uang yang sama lebih awal umumnya lebih baik daripada menerimanya nanti. Alasannya adalah biaya kesempatan: uang di tanganmu hari ini bisa menutupi kebutuhan, menghasilkan bunga, atau ditabung untuk suatu tujuan. Uang yang dijanjikan di masa depan mungkin tidak pernah datang, dan harga bisa naik sementara kamu menunggu.

Ide ini juga bekerja sebaliknya. Jika kamu meminjam Rp 1.000.000 hari ini, kamu biasanya harus mengembalikan lebih banyak nanti karena p","Bayu is owed Rp 500,000 by a relative. He can be paid today or in three months. If he receives it today, he can buy a phone charger he needs for online classes and still have money left for transport. If he waits three months, the charger may cost more, or he may miss classes because his phone is dead. Receiving the money today gives him more options.",,2,4,2,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY] | GLB-004: The Psychology of Money — Morgan Housel (null),,2026-07-16T13:12:52.990866+00:00
9,budgeting-101,"Budgeting: The 50/30/20 Rule, Indonesian Style",Anggaran: Aturan 50/30/20 ala Indonesia,Money Life Skills,budgeting,Budgeting,beginner,true,60,6,"A budget is a plan that splits your income into needs, wants, and savings or debt payments.","Anggaran adalah rencana yang membagi pemasukanmu menjadi kebutuhan, keinginan, serta tabungan atau pembayaran utang.","A budget is a written plan for how you will spend and save your money. The 50/30/20 framework is one simple starting point: about 50% for needs, 30% for wants, and 20% for savings and paying off debt. In Indonesia, you may need to adjust these numbers based on family contributions, living costs, and local prices. A student living with parents might save 30%, while someone paying full kos might only save 10%.

The real value of a budget is not perfection. It is awareness. When you know where your","Anggaran adalah rencana tertulis tentang bagaimana kamu akan membelanjakan dan menabung uangmu. Kerangka 50/30/20 adalah titik awal yang sederhana: sekitar 50% untuk kebutuhan, 30% untuk keinginan, dan 20% untuk tabungan serta melunasi utang. Di Indonesia, kamu mungkin perlu menyesuaikan angka-angka ini berdasarkan kontribusi keluarga, biaya hidup, dan harga lokal. Mahasiswa yang tinggal dengan orang tua mungkin bisa menabung 30%, sementara yang membayar kos penuh mungkin hanya bisa menabung 10%","Ani earns Rp 2,000,000 per month from a part-time job. She spends Rp 1,000,000 on needs like kos, campus meals, and pulsa. She allocates Rp 600,000 for wants like streaming subscriptions and hanging out with friends. That leaves Rp 400,000 for savings and paying back a small debt to her brother. This simple split keeps her from borrowing more and lets her build an emergency fund over time.",,0,0,0,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY] | GLB-005: I Will Teach You To Be Rich — Ramit Sethi (null) | OJK-004: OJK Capital Markets Channel (https://ojk.go.id/id/kanal/pasar-modal),,2026-06-29T06:35:56.732989+00:00
10,pay-yourself-first,Pay Yourself First,Bayar Dirimu Sendiri Dulu,Money Life Skills,saving_habits,Saving Habits,beginner,true,55,5,Save automatically at the start of the month instead of hoping something is left at the end.,"Menabung otomatis di awal bulan, bukan berharap ada sisa di akhir bulan.","Pay yourself first means transferring money to savings before you spend on anything else. Instead of waiting to see what is left at the end of the month, you decide in advance how much to save and move it immediately when income arrives.

This works because willpower is limited. If saving is the last priority, it often disappears into small daily purchases like extra coffee, snacks, or impulse app purchases. Automating the transfer makes saving a default, not a decision. Even a small amount save","Bayar diri sendiri dulu berarti memindahkan uang ke tabungan sebelum kamu membelanjakan apa pun. Alih-alih menunggu sisa di akhir bulan, kamu memutuskan berapa banyak yang akan ditabung dan memindahkannya segera saat pendapatan datang.

Ini berhasil karena tekad kita terbatas. Jika menabung adalah prioritas terakhir, sering kali uang itu lenyap dalam pembelian kecil harian seperti kopi tambahan, camilan, atau pembelian aplikasi impulsif. Mengotomatisasi transfer membuat menabung menjadi default,","Every month when Doni's Rp 2,000,000 part-time salary arrives, his banking app automatically moves Rp 300,000 to a separate tabungan labeled 'Future Me.' Only then does he buy pulsa, coffee, or hang out with friends. Some months he has less to spend, but his savings grow steadily because they leave his account first.",,2,4,2,OJK-003: OJK Publications Portal (https://ojk.go.id/id/berita-dan-kegiatan/publikasi) [PRIMARY] | GLB-005: I Will Teach You To Be Rich — Ramit Sethi (null),,2026-07-16T13:12:52.990866+00:00
