lesson_number,slug,title_en,title_id,chapter,topic_slug,difficulty,is_published,action,old_lesson_number
101,fz-what-is-money,What Is Money? (Foundation 0),Apa Itu Uang? (Foundation 0),Foundation 0,foundation_zero,beginner,true,KEEP,101
102,fz-inflation,What Is Inflation?,Apa Itu Inflasi?,Foundation 0,foundation_zero,beginner,true,KEEP,102
103,fz-interest,What Is Interest?,Apa Itu Bunga?,Foundation 0,foundation_zero,beginner,true,KEEP,103
104,fz-income-vs-wealth,Income vs Wealth,Pendapatan vs Kekayaan,Foundation 0,foundation_zero,beginner,true,KEEP,104
105,fz-assets-vs-liabilities,Assets vs Liabilities,Aset vs Liabilitas,Foundation 0,foundation_zero,beginner,true,KEEP,105
106,fz-risk,What Is Risk?,Apa Itu Risiko?,Foundation 0,foundation_zero,beginner,true,KEEP,106
107,fz-return,What Is Return?,Apa Itu Return?,Foundation 0,foundation_zero,beginner,true,KEEP,107
108,fz-saving-vs-investing,Saving vs Investing,Menabung vs Berinvestasi,Foundation 0,foundation_zero,beginner,true,KEEP,108
109,fz-emergency-fund,Emergency Fund,Dana Darurat,Foundation 0,foundation_zero,beginner,true,KEEP,109
110,fz-needs-vs-wants,Needs vs Wants,Kebutuhan vs Keinginan,Foundation 0,foundation_zero,beginner,true,KEEP,110
111,fz-debt,What Is Debt?,Apa Itu Utang?,Foundation 0,foundation_zero,beginner,true,KEEP,111
112,fz-scam-red-flags,Scam Red Flags,Tanda-Tanda Penipuan,Foundation 0,foundation_zero,beginner,true,KEEP,112
1,value-and-purchasing-power,Value and Purchasing Power,Nilai dan Daya Beli,Chapter 01: Money Basics,value_purchasing_power,beginner,true,KEEP,2
2,inflation-101,Inflation: Why Your Rupiah Buys Less Over Time,Inflasi: Mengapa Rupiahmu Membeli Lebih Sedikit dari Waktu ke Waktu,Chapter 01: Money Basics,inflation,beginner,true,KEEP,3
3,understanding-risk,Understanding Risk,Memahami Risiko,Chapter 01: Money Basics,risk_basics,beginner,true,KEEP,7
4,time-value-of-money,Time Value of Money,Nilai Waktu Uang,Chapter 01: Money Basics,time_value_money,beginner,true,KEEP,8
5,inflation-advanced,Advanced Inflation: Phillips curve,Inflation Lanjutan: kurva Phillips,Chapter 01: Money Basics,inflation,advanced,false,KEEP_UNPUBLISHED,48
6,budgeting-101,"Budgeting: The 50/30/20 Rule, Indonesian Style",Anggaran: Aturan 50/30/20 ala Indonesia,Chapter 02: Money Life Skills,budgeting,beginner,true,KEEP,9
7,pay-yourself-first,Pay Yourself First,Bayar Dirimu Sendiri Dulu,Chapter 02: Money Life Skills,saving_habits,beginner,true,KEEP,10
8,spending-traps,Spending Traps,Jebakan Pengeluaran,Chapter 02: Money Life Skills,spending_behavior,beginner,true,KEEP,11
9,loss-aversion-101,Loss Aversion & FOMO,Aversi Rugi & FOMO,Chapter 02: Money Life Skills,behavioral_finance,intermediate,false,KEEP_UNPUBLISHED,45
10,confidence-101,Confidence & Risk Tolerance,Kepercayaan Diri & Toleransi Risiko,Chapter 02: Money Life Skills,behavioral_finance,intermediate,false,KEEP_UNPUBLISHED,46
11,volatility-101,Volatility & Emotional Control,Volatilitas & Pengendalian Emosi,Chapter 02: Money Life Skills,behavioral_finance,intermediate,false,KEEP_UNPUBLISHED,47
12,behavioral-bias-intro,Behavioral Bias Intro,Pengenalan Bias Perilaku,Chapter 02: Money Life Skills,behavioral_finance,advanced,true,KEEP_UNPUBLISHED,12
13,budgeting-advanced,Advanced Budgeting: capital budgeting,Budgeting Lanjutan: anggaran modal,Chapter 02: Money Life Skills,budgeting,advanced,false,KEEP_UNPUBLISHED,49
14,behavioral_finance-advanced,Advanced Behavioral Finance: bounded rationality,Behavioral Finance Lanjutan: rasionalitas terbatas,Chapter 02: Money Life Skills,behavioral_finance,advanced,false,KEEP_UNPUBLISHED,52
15,too-good-to-be-true,Too Good To Be True,Terlalu Bagus untuk Jadi Kenyataan,Chapter 03: Protect Yourself,scam_defense,beginner,true,KEEP,13
16,check-ojk-license,Check Before You Invest: OJK License,Cek Sebelum Investasi: Izin OJK,Chapter 03: Protect Yourself,ojk_license_check,beginner,true,KEEP,14
17,phishing-social-engineering,Phishing and Social Engineering,Phishing dan Rekayasa Sosial,Chapter 03: Protect Yourself,phishing_social_engineering,beginner,true,KEEP,15
18,mlm-pyramid-red-flags,MLM and Pyramid Red Flags,Tanda MLM dan Piramida,Chapter 03: Protect Yourself,mlm_pyramid,beginner,true,KEEP,16
19,debt-traps,"Debt Traps: PayLater, Pinjol, and Credit Cards","Jebakan Utang: PayLater, Pinjol, dan Kartu Kredit",Chapter 04: Debt Management,debt_management,beginner,true,KEEP,17
20,good-debt-vs-bad-debt,Good Debt vs Bad Debt,Utang Baik vs Utang Buruk,Chapter 04: Debt Management,debt_management,beginner,true,KEEP,18
21,why-pay-later-is-bad,"Why ""Pay Later"" Is Bad","Mengapa ""Bayar Nanti"" Itu Buruk",Chapter 04: Debt Management,debt_management,beginner,true,KEEP,19
22,credit-card-good-or-bad,Credit Cards: Good or Bad?,Kartu Kredit: Baik atau Buruk?,Chapter 04: Debt Management,debt_management,beginner,true,KEEP,20
23,how-to-pay-debt-responsibly,How to Pay Debt Responsibly,Cara Membayar Utang dengan Bertanggung Jawab,Chapter 04: Debt Management,debt_management,beginner,true,KEEP,21
24,emergency-fund-101,Emergency Fund: Prepare Before You Invest,Dana Darurat: Siapkan Sebelum Investasi,Chapter 05: Financial Planning,emergency_fund,beginner,true,KEEP,22
25,goal-setting-101,Financial Goal Setting,Menetapkan Tujuan Keuangan,Chapter 05: Financial Planning,goal_setting,beginner,true,KEEP,23
