lesson_slug,source_code,relevance_type,is_primary
money-basics-101,OJK-002,primary,true
money-basics-101,GLB-004,supporting,false
value-and-purchasing-power,BI-001,primary,true
value-and-purchasing-power,GLB-004,supporting,false
inflation-101,BI-001,primary,true
inflation-101,GLB-004,supporting,false
income-vs-wealth,OJK-002,primary,true
income-vs-wealth,GLB-004,supporting,false
needs-vs-wants-101,OJK-003,primary,true
needs-vs-wants-101,GLB-005,supporting,false
assets-vs-liabilities,OJK-003,primary,true
assets-vs-liabilities,GLB-006,supporting,false
understanding-risk,OJK-007,primary,true
understanding-risk,GLB-004,supporting,false
time-value-of-money,OJK-003,primary,true
time-value-of-money,GLB-004,supporting,false
budgeting-101,OJK-014,primary,true
budgeting-101,GLB-005,supporting,false
emergency-fund-101,OJK-003,primary,true
emergency-fund-101,GLB-004,supporting,false
pay-yourself-first,OJK-003,primary,true
pay-yourself-first,GLB-005,supporting,false
spending-traps,OJK-007,primary,true
spending-traps,GLB-004,supporting,false
debt-traps,OJK-012,primary,true
debt-traps,GLB-005,supporting,false
goal-setting-101,OJK-002,primary,true
goal-setting-101,GLB-008,supporting,false
too-good-to-be-true,OJK-007,primary,true
too-good-to-be-true,GLB-004,supporting,false
check-ojk-license,OJK-015,primary,true
check-ojk-license,GLB-005,supporting,false
phishing-social-engineering,OJK-009,primary,true
phishing-social-engineering,GLB-004,supporting,false
mlm-pyramid-red-flags,OJK-007,primary,true
mlm-pyramid-red-flags,GLB-004,supporting,false
interest-101,BI-002,primary,true
interest-101,GLB-004,supporting,false
compound-interest-101,OJK-006,primary,true
compound-interest-101,GLB-004,supporting,false
bank-vs-investment,OJK-006,primary,true
bank-vs-investment,GLB-007,supporting,false
risk-return-101,OJK-006,primary,true
risk-return-101,GLB-007,supporting,false
diversification-101,IDX-001,primary,true
diversification-101,GLB-007,supporting,false
reksa-dana-basics,OJK-021,primary,true
reksa-dana-basics,GLB-007,supporting,false
what-is-a-stock,IDX-001,primary,true
what-is-a-stock,GLB-007,supporting,false
idx-basics-101,IDX-001,primary,true
idx-basics-101,GLB-007,supporting,false
reading-a-stock-page,IDX-003,primary,true
reading-a-stock-page,GLB-007,supporting,false
portfolio-thinking,IDX-001,primary,true
portfolio-thinking,GLB-007,supporting,false
taxes-on-returns,OJK-004,primary,true
taxes-on-returns,GLB-005,supporting,false
macro-indicators,BI-002,primary,true
macro-indicators,GLB-007,supporting,false
behavioral-bias-intro,OJK-004,primary,true
behavioral-bias-intro,GLB-016,supporting,false
building-financial-plan,OJK-002,primary,true
building-financial-plan,GLB-005,supporting,false
