new_order,old_lesson_number,slug,title_en,title_id,chapter,topic_slug,topic_name,difficulty,is_published,action,is_duplicate,xp_reward,estimated_minutes,summary_en,summary_id
1,101,fz-what-is-money,What Is Money? (Foundation 0),Apa Itu Uang? (Foundation 0),Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,"Money is a tool that makes trade, saving, and planning possible.","Uang adalah alat yang membuat perdagangan, menabung, dan perencanaan jadi mungkin."
2,102,fz-inflation,What Is Inflation?,Apa Itu Inflasi?,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Inflation means the same amount of money buys less over time.,Inflasi berarti jumlah uang yang sama bisa membeli lebih sedikit seiring waktu.
3,103,fz-interest,What Is Interest?,Apa Itu Bunga?,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Interest is the price of using money over time — either what you earn or what you pay.,Bunga adalah harga menggunakan uang dari waktu ke waktu — baik yang kamu dapatkan maupun yang kamu bayar.
4,104,fz-income-vs-wealth,Income vs Wealth,Pendapatan vs Kekayaan,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Income is money coming in. Wealth is money kept and grown.,Pendapatan adalah uang yang masuk. Kekayaan adalah uang yang tersisa dan tumbuh.
5,105,fz-assets-vs-liabilities,Assets vs Liabilities,Aset vs Liabilitas,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Assets put money in your pocket. Liabilities take money out.,Aset memasukkan uang ke kantongmu. Liabilitas mengeluarkan uang dari kantongmu.
6,106,fz-risk,What Is Risk?,Apa Itu Risiko?,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Risk is the chance that something bad happens to your money.,Risiko adalah kemungkinan sesuatu yang buruk terjadi pada uangmu.
7,107,fz-return,What Is Return?,Apa Itu Return?,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Return is the gain or loss you get from an investment or saving.,Return adalah keuntungan atau kerugian yang kamu dapat dari tabungan atau investasi.
8,108,fz-saving-vs-investing,Saving vs Investing,Menabung vs Berinvestasi,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Saving protects money now. Investing grows money for later.,Menabung melindungi uang sekarang. Berinvestasi menumbuhkan uang untuk nanti.
9,109,fz-emergency-fund,Emergency Fund,Dana Darurat,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,An emergency fund is money kept safe for unexpected problems.,Dana darurat adalah uang yang disimpan aman untuk masalah tak terduga.
10,110,fz-needs-vs-wants,Needs vs Wants,Kebutuhan vs Keinginan,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,Needs are essentials. Wants are nice-to-haves.,Kebutuhan adalah hal esensial. Keinginan adalah hal yang menyenangkan tapi bisa ditunda.
11,111,fz-debt,What Is Debt?,Apa Itu Utang?,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,"Debt is money you owe and must pay back, usually with extra cost.","Utang adalah uang yang kamu pinjam dan harus dikembalikan, biasanya dengan biaya tambahan."
12,112,fz-scam-red-flags,Scam Red Flags,Tanda-Tanda Penipuan,Foundation 0,foundation_zero,Foundation 0,beginner,true,KEEP,false,25,2,"If it sounds too good to be true, it usually is.","Jika terdengar terlalu bagus untuk jadi kenyataan, biasanya memang begitu."
13,1,money-basics-101,What Is Money?,Apa Itu Uang?,Chapter 01: Money Basics,money_basics,Money Basics,beginner,false,DEACTIVATE (duplicate),true,50,5,"Money is a tool that makes trade, saving, and planning possible.","Uang adalah alat yang membuat perdagangan, menabung, dan perencanaan jadi mungkin."
