source_code,title,local_title,source_tier,source_type,organization,url,isbn,publication_year,status,localization_notes,lesson_theme
OJK-009,OJK SWI Cyber Patrol — Illegal Investment & Fintech Lending Crackdown,Satgas Waspada Investasi OJK — Penindakan Investasi Ilegal & Fintech Lending,1,report,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/Siaran-Pers-Satgas-Waspada-Investasi-Gencarkan-Cyber-Patrol--Tindak-Fintech-Lending-dan-Penawaran-Investasi-illegal.aspx,,2020,verified,Tie red flags to WhatsApp/Telegram offers and OJK license-check habit,scam-defense
OJK-010,OJK Launches Investment Education for Millennials,OJK Luncurkan Edukasi Investasi Bagi Milenial,1,report,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/OJK-Luncurkan-Edukasi-Investasi-Bagi-Milenial.aspx,,2024,verified,Frame investing as a long-term skill not a get-rich-quick scheme,wealth-building
OJK-011,OJK Capital Market Education & Consumer Protection Portal,Portal Edukasi & Perlindungan Konsumen Pasar Modal OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/pasar-modal/edukasi-dan-perlindungan-konsumen/Pages/default.aspx,,2024,verified,Introduce IDX stocks only after foundation concepts are clear,idx-basics
OJK-012,OJK Banking Consumer Protection,Perlindungan Konsumen Perbankan OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/perbankan/edukasi-dan-perlindungan-konsumen/Pages/default.aspx,,2024,verified,Link bank safety to choosing licensed banks and avoiding fake savings apps,budgeting
OJK-013,OJK IKNB Consumer Protection,Perlindungan Konsumen IKNB OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/iknb/edukasi-dan-perlindungan-konsumen/Pages/default.aspx,,2024,verified,Explain insurance and pension basics before mutual funds,wealth-building
OJK-014,OJK Pocket Guide — Personal Financial Management PDF,Buku Saku OJK — Pengelolaan Keuangan Pribadi,1,guide,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/publikasi/Documents/Pages/Buku-Saku-Pengelolaan-Keuangan-Pribadi/Buku-Saku-Pengelolaan-Keuangan-Pribadi.pdf,,2023,verified,Use Rp amounts and student allowance examples for 50/30/20,budgeting
OJK-015,OJK Illegal Investment Alert Portal,Portal Waspada Investasi OJK,1,website,OJK,https://www.ojk.go.id/waspadainvestasi/id/,,2025,verified,Show how to verify an app/product license before sending money,scam-defense
OJK-016,OJK Investor Education Portal,Portal Edukasi Investor OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/pasar-modal/edukasi-dan-perlindungan-konsumen/investor/Pages/default.aspx,,2024,verified,Use before first stock lesson to establish trust in capital markets,idx-basics
OJK-017,OJK Sharia Investment Pocket Book for Millennials,Buku Saku Investasi Syariah untuk Milenial OJK,1,guide,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/OJK-Luncurkan-Buku-Saku-Investasi-Syariah-untuk-Milenial.aspx,,2024,verified,Include sukuk and sharia mutual funds as diversification options,wealth-building
OJK-018,OJK Financial Literacy for Students,Edukasi Keuangan untuk Pelajar OJK,1,report,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/OJK-Luncurkan-Edukasi-Keuangan-untuk-Pelajar.aspx,,2024,verified,Anchor money basics to school life and first pocket money,foundation
OJK-019,OJK UMKM Financial Literacy & Access,Literasi dan Akses Keuangan UMKM OJK,1,report,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/siaran-pers/Pages/OJK-Luncurkan-Literasi-Keuangan-dan-Akses-Keuangan-untuk-UMKM.aspx,,2024,verified,Connect small business stories to income vs wealth and emergency funds,foundation
OJK-020,OJK Banking Consumer FAQ,FAQ Perlindungan Konsumen Perbankan OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/perbankan/edukasi-dan-perlindungan-konsumen/Pages/FAQ.aspx,,2024,verified,Use FAQ items to answer common teen questions about bank accounts,budgeting
OJK-021,OJK Mutual Fund (Reksa Dana) Education,Edukasi Reksa Dana OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/iknb/edukasi-dan-perlindungan-konsumen/reksa-dana/Pages/default.aspx,,2024,verified,Compare reksa dana to tabungan and explain NAV/unit,wealth-building
OJK-022,OJK Investment Products Education,Edukasi Produk Investasi OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/pasar-modal/edukasi-dan-perlindungan-konsumen/produk-investasi/Pages/default.aspx,,2024,verified,Map each product to risk level before users choose investments,wealth-building
OJK-023,OJK Capital Market Basics,Dasar-Dasar Pasar Modal OJK,1,website,OJK,https://www.ojk.go.id/id/kanal/pasar-modal/edukasi-dan-perlindungan-konsumen/pasar-modal/Pages/default.aspx,,2024,verified,Define saham obligasi and reksa dana with Indonesian examples,idx-basics
OJK-024,OJK Annual Report,Laporan Tahunan OJK,1,report,OJK,https://www.ojk.go.id/id/berita-dan-kegiatan/publikasi/Pages/Laporan-Tahunan-OJK.aspx,,2024,verified,Cite literacy statistics and regulatory role for trust section,pro-teaser
BI-008,Bank Indonesia Statistics Portal,Portal Statistik Bank Indonesia,1,website,Bank Indonesia,https://www.bi.go.id/id/statistik/Default.aspx,,2025,verified,Use BI data for inflation and exchange-rate charts in lessons,foundation
BI-009,Bank Indonesia Publications Portal,Portal Publikasi Bank Indonesia,1,website,Bank Indonesia,https://www.bi.go.id/id/publikasi/Default.aspx,,2025,verified,Reference Laporan Kebijakan Moneter for macro indicator lessons,pro-teaser
IDX-008,IDX Official YouTube Channel Playlists,Playlist YouTube Resmi IDX,1,video,IDX,https://www.youtube.com/@IDXOfficial/playlists,,2025,verified,Use IDX video explainers for stock basics and lot sizes,idx-basics
IDX-009,IDX Academy — Investor Education,Akademi Investor IDX,1,website,IDX,https://www.idx.co.id/id-id/akademi-investor/,,2025,needs_review,Cloudflare blocks automated verification; verify manually before publish,idx-basics
IDX-010,IDX Investor Protection,Perlindungan Investor IDX,1,website,IDX,https://www.idx.co.id/id-id/investor/perlindungan-investor/,,2024,needs_review,Cloudflare blocks automated verification; verify manually before publish,scam-defense
IDX-011,IDX Glossary of Capital Markets Terms,Glosarium Istilah Pasar Modal IDX,1,website,IDX,https://www.idx.co.id/id-id/perusahaan-terdaftar/glossarium/,,2025,needs_review,Cloudflare blocks automated verification; verify manually before publish,idx-basics
IDX-012,IDX Beginner Investment Guide,Panduan Investasi Pemula IDX,1,guide,IDX,https://www.idx.co.id/id-id/investor/panduan-investasi/,,2024,needs_review,Cloudflare blocks automated verification; verify manually before publish,idx-basics
GLB-011,The Simple Path to Wealth,Jalan Sederhana Menuju Kekayaan,2,book,JL Collins,,978-1533667922,2016,verified,Replace US index funds with IDX-listed ETFs and reksa dana pasar uang,wealth-building
GLB-012,The Millionaire Next Door,Jutawan di Sebelah Rumah,2,book,Thomas J. Stanley & William D. Danko,,978-0-671-01520-6,1998,verified,Relate frugal habits to Indonesian middle-class families and UMKM owners,behavior-habits
GLB-013,Your Money or Your Life,Uangmu atau Hidupmu,2,book,Vicki Robin & Joe Dominguez,,978-0143115762,2018,verified,Adapt 9-step program to Indonesian income and expense tracking,budgeting
GLB-014,The Little Book of Common Sense Investing,Buku Kecil Investasi Akal Sehat,2,book,John C. Bogle,,978-0-470-10210-7,2007,verified,Explain index investing using IDX composite and reksa dana indeks,wealth-building
GLB-015,Nudge,Dorongan,2,book,Richard H. Thaler & Cass R. Sunstein,,978-0-14-311526-7,2009,verified,Apply choice architecture to autopay savings and default budget envelopes,behavior-habits
GLB-016,Thinking Fast and Slow,Berpikir Cepat dan Lambat,2,book,Daniel Kahneman,,978-0374275631,2011,verified,Map loss aversion and anchoring to panic selling and sales traps,pro-teaser
GLB-017,Atomic Habits,Atomic Habits,2,book,James Clear,,978-0735211292,2018,verified,Use habit stacking for daily saving and spending review routines,behavior-habits
GLB-018,The Barefoot Investor,The Barefoot Investor,2,book,Scott Pape,,978-0730324218,2017,verified,Localize bucket method to Indonesian bank accounts and emergency fund,budgeting
# Summary: 19 verified Tier 1 sources (16 OJK + 2 BI + 1 IDX), 4 IDX sources marked needs_review, 8 verified Tier 2 books.
